title,link,views,date_time,image_link
DYNAMIC PROGRAMMING PRACTICE PROBLEM | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=5Bfjt3oY564,803 views,4 days ago,https://i.ytimg.com/vi/5Bfjt3oY564/hqdefault.jpg
Can these College students win 6000rs by answering easy coding questions?| GeeksforGeeks Premium,https://www.youtube.com/watch?v=JtLJyMeHxLk,1.3K views,4 days ago,https://i.ytimg.com/vi/JtLJyMeHxLk/hqdefault.jpg
Create a 3D AI Website using Three.js | Frontend Projects | GeeksforGeeks,https://www.youtube.com/watch?v=rq67tD6OYXc,1.2K views,8 days ago,https://i.ytimg.com/vi/rq67tD6OYXc/hqdefault.jpg
React Native VS Flutter | I analysed the app development market for both,https://www.youtube.com/watch?v=2keMefdv9s4,1.2K views,12 days ago,https://i.ytimg.com/vi/2keMefdv9s4/hqdefault.jpg
Quick Sort: Auxiliary Space Explained in 8 Minutes! | Lecture - 25 | GeeksforGeeks,https://www.youtube.com/watch?v=47dzZ_58vIw,565 views,2 weeks ago,https://i.ytimg.com/vi/47dzZ_58vIw/hqdefault.jpg
Learn QUICK SORT ANALYSIS in 10 MINUTES | Lecture - 24 | GeeksforGeeks,https://www.youtube.com/watch?v=8VYD2q8dDFU,496 views,2 weeks ago,https://i.ytimg.com/vi/8VYD2q8dDFU/hqdefault.jpg
Top Interview Tips for Fresh Graduates in 2024 | GeeksforGeeks,https://www.youtube.com/watch?v=aoBD3t-bFLo,1.6K views,2 weeks ago,https://i.ytimg.com/vi/aoBD3t-bFLo/hqdefault.jpg
GeeksforGeeks Classroom Program | Noida | Pune | Bengaluru,https://www.youtube.com/watch?v=zPHy8Ruso5k,863 views,2 weeks ago,https://i.ytimg.com/vi/zPHy8Ruso5k/hqdefault.jpg
Is Engineering (B.Tech) Worth it in 2024? | Harsh Reality,https://www.youtube.com/watch?v=Qt1xh3R_1_Y,1K views,2 weeks ago,https://i.ytimg.com/vi/Qt1xh3R_1_Y/hqdefault.jpg
Hoare Partition Quick Sort - PART II | Sorting Playlist | Lecture - 23 | GeeksforGeeks,https://www.youtube.com/watch?v=pNDNomHBDZk,329 views,2 weeks ago,https://i.ytimg.com/vi/pNDNomHBDZk/hqdefault.jpg
Why you will never become a Programmer? | Placements | Honest reality | GfG,https://www.youtube.com/watch?v=pM1sSCio0WE,3.6K views,2 weeks ago,https://i.ytimg.com/vi/pM1sSCio0WE/hqdefault.jpg
Learn Lomuto Partition in Quick Sort | Lecture - 22 | GeeksforGeeks,https://www.youtube.com/watch?v=R-LMKBKPTok,416 views,3 weeks ago,https://i.ytimg.com/vi/R-LMKBKPTok/hqdefault.jpg
How I would learn Data Engineering in 2024 (If I could start over) | Complete Roadmap |,https://www.youtube.com/watch?v=XTbyBW8Yh9U,968 views,3 weeks ago,https://i.ytimg.com/vi/XTbyBW8Yh9U/hqdefault.jpg
Introduction to Quick Sort | Sorting Playlist | Lecture - 21 | GeeksforGeeks,https://www.youtube.com/watch?v=SN8jC7Nb-Os,847 views,3 weeks ago,https://i.ytimg.com/vi/SN8jC7Nb-Os/hqdefault.jpg
GeeksforGeeks brings back Three 90 Challenge!,https://www.youtube.com/watch?v=jTawc2mrQSw,1.5M views,3 weeks ago,https://i.ytimg.com/vi/jTawc2mrQSw/hqdefault.jpg
Big Companies vs Startups | Which one should you choose in 2024? | Startups | MNC'S,https://www.youtube.com/watch?v=gkCKp0BgAy4,814 views,3 weeks ago,https://i.ytimg.com/vi/gkCKp0BgAy4/hqdefault.jpg
Hoare Partition Quick Sort | Lecture - 20 | GeeksforGeeks,https://www.youtube.com/watch?v=NsY5UI0RZfE,613 views,3 weeks ago,https://i.ytimg.com/vi/NsY5UI0RZfE/hqdefault.jpg
GATE vs Placements🧑‍💻| Which one to choose after graduation? 🤔 | GATE | Engineering | GFG,https://www.youtube.com/watch?v=N42PuoXkjgA,778 views,3 weeks ago,https://i.ytimg.com/vi/N42PuoXkjgA/hqdefault.jpg
Futuristic Marvel Technologies that will blow your mind | Marvel | Metaverse | GFG,https://www.youtube.com/watch?v=1C5qpMkfeNw,588 views,3 weeks ago,https://i.ytimg.com/vi/1C5qpMkfeNw/hqdefault.jpg
Learn Lomuto Partition | Lecture - 19 | GeeksforGeeks,https://www.youtube.com/watch?v=xew1z47P6OM,642 views,4 weeks ago,https://i.ytimg.com/vi/xew1z47P6OM/hqdefault.jpg
What is Dynamic Programming? |  Data Structures & Algorithms | GeeksforGeeks,https://www.youtube.com/watch?v=ad6UqyoZ9Hk,835 views,4 weeks ago,https://i.ytimg.com/vi/ad6UqyoZ9Hk/hqdefault.jpg
Top 7 questions asked in Microsoft interviews😎 | Microsoft | Interview Questions | Career Tips | GFG,https://www.youtube.com/watch?v=nZwVi7Affvc,921 views,4 weeks ago,https://i.ytimg.com/vi/nZwVi7Affvc/hqdefault.jpg
Learn Quick Sort (Naive Partition) in 5 Minutes | Sorting Playlist | Lecture -18 | GeeksforGeeks,https://www.youtube.com/watch?v=kq3d0P6WxBo,470 views,4 weeks ago,https://i.ytimg.com/vi/kq3d0P6WxBo/hqdefault.jpg
Python vs Java | Which one you should choose in 2024? | Python | Java | Machine Learning | GFG,https://www.youtube.com/watch?v=5IS1qwgUtPQ,1.7K views,1 month ago,https://i.ytimg.com/vi/5IS1qwgUtPQ/hqdefault.jpg
Count Inversion in Array | Lecture 17 | GeeksforGeeks,https://www.youtube.com/watch?v=r0iq9vfZ6bA,897 views,1 month ago,https://i.ytimg.com/vi/r0iq9vfZ6bA/hqdefault.jpg
Why so many CEOs are from India? | Decoded | Google | Microsoft | Adobe | GFG,https://www.youtube.com/watch?v=TpeDtIwGJeA,1.1K views,1 month ago,https://i.ytimg.com/vi/TpeDtIwGJeA/hqdefault.jpg
Learn Union Sort in 10 Minutes | Sorting Playlist | GeeksforGeeks,https://www.youtube.com/watch?v=CfAGM0kQsGU,767 views,1 month ago,https://i.ytimg.com/vi/CfAGM0kQsGU/hqdefault.jpg
Three 90 Challenge | Hear from 90% Refund Winners | GeeksforGeeks,https://www.youtube.com/watch?v=_QwpAU8k6Qw,173K views,1 month ago,https://i.ytimg.com/vi/_QwpAU8k6Qw/hqdefault.jpg
Intersection of Two Merge Sort Array | Free Tutorial | Lecture - 15 | GeeksforGeeks,https://www.youtube.com/watch?v=dr5DHXTk7zc,648 views,1 month ago,https://i.ytimg.com/vi/dr5DHXTk7zc/hqdefault.jpg
Should you pursue Data Science in 2024? | Complete Roadmap | 50 LPA+ jobs | Data Science | GFG,https://www.youtube.com/watch?v=TY1VeJSRk9I,1K views,1 month ago,https://i.ytimg.com/vi/TY1VeJSRk9I/hqdefault.jpg
Three 90 Challenge Back on Popular Demand | Refunds Processed worth INR 1 CR+ | GeeksforGeeks,https://www.youtube.com/watch?v=fNuZ23MtCt8,257K views,1 month ago,https://i.ytimg.com/vi/fNuZ23MtCt8/hqdefault.jpg
Learn Merge Sort Analysis with @SandeepJainGfG  | GeeksforGeeks,https://www.youtube.com/watch?v=Pb0L79nkdK0,450 views,1 month ago,https://i.ytimg.com/vi/Pb0L79nkdK0/hqdefault.jpg
Merge Sorting Algorithm with @SandeepJainGfG | Lecture 13 | GeeksforGeeks,https://www.youtube.com/watch?v=ehvHKzU5Pcg,735 views,1 month ago,https://i.ytimg.com/vi/ehvHKzU5Pcg/hqdefault.jpg
Upto 50 lpa+ Package 🫨 | From Zero to DevOps Engineer - DevOps Roadmap 2024  | What is Devops? 🤔,https://www.youtube.com/watch?v=S462Dnvlkz4,863 views,1 month ago,https://i.ytimg.com/vi/S462Dnvlkz4/hqdefault.jpg
Learn Merge Function of Merge Sort | Lecture 12 | GeeksforGeeks,https://www.youtube.com/watch?v=uvabUx1T-Lw,512 views,1 month ago,https://i.ytimg.com/vi/uvabUx1T-Lw/hqdefault.jpg
How to Merge two SORTED ARRAYS with @SandeepJainGfG  | GeeksforGeeks,https://www.youtube.com/watch?v=pUw1Id6zNTE,923 views,1 month ago,https://i.ytimg.com/vi/pUw1Id6zNTE/hqdefault.jpg
Whooping Salaries of CyberHub Gurgaon Employees and their Office Crushes| StreetStyle |CyberHub |GFG,https://www.youtube.com/watch?v=HWnw7VdeVZ4,1.6K views,1 month ago,https://i.ytimg.com/vi/HWnw7VdeVZ4/hqdefault.jpg
